,year,title,speaker
1,1951,サンフランシスコ平和会議における吉田茂総理大臣の受諾演説,吉田茂
2,1957,岸信介内閣総理大臣のナショナルプレスクラブにおける演説,岸信介
3,1961,池田勇人内閣総理大臣ナショナルプレスクラブ演説,池田勇人
4,1961,池田勇人内閣総理大臣の米議会における挨拶,池田勇人
5,1964,明日へのたたかい，未来からの呼びかけにこたえて（佐藤内閣政策文書）,佐藤栄作
6,1964,佐藤内閣発足に際しての佐藤内閣総理大臣の談話,佐藤栄作
7,1965,佐藤栄作内閣総理大臣のナショナルプレスクラブにおける演説,佐藤栄作
8,1965,佐藤栄作内閣総理大臣の沖縄訪問に際してのステートメント,佐藤栄作
9,1965,「国政に関する公聴会」（金沢）における佐藤内閣総理大臣の発言,佐藤栄作
10,1966,大阪における佐藤内閣総理大臣の経済講演,佐藤栄作
11,1966,国政に関する公聴会（札幌）における佐藤内閣総理大臣演説,佐藤栄作
12,1967,国政に関する公聴会（和歌山）における佐藤内閣総理大臣の演説,佐藤栄作
13,1967,故吉田茂国葬儀における佐藤内閣総理大臣の追悼の辞,佐藤栄作
14,1967,佐藤栄作内閣総理大臣ナショナルプレスクラブ演説,佐藤栄作
15,1967,ニューヨーク日米協会等四団体共催晩餐会における佐藤内閣総理大臣演説,佐藤栄作
16,1968,「国政に関する公聴会」における佐藤内閣総理大臣演説,佐藤栄作
17,1969,ＡＳＰＡＣにおける佐藤栄作内閣総理大臣挨拶,佐藤栄作
18,1969,佐藤栄作内閣総理大臣の外人記者クラブにおける演説,佐藤栄作
19,1969,新聞協会主催全国編集者会議における佐藤内閣総理大臣の挨拶,佐藤栄作
20,1969,「国政に関する公聴会」における佐藤内閣総理大臣の演説,佐藤栄作
21,1969,ナショナル・プレス・クラブにおける佐藤栄作内閣総理大臣演説,佐藤栄作
22,1970,日本記者クラブにおける佐藤内閣総理大臣の演説，国際的な広がりをもった内政の十年，一九七〇年代について,佐藤栄作
24,1970,米国財界人との懇談会における佐藤内閣総理大臣のあいさつ,佐藤栄作
25,1970,国連２５周年記念会期における佐藤栄作内閣総理大臣演説,佐藤栄作
26,1971,「国政に関する公聴会」における佐藤内閣総理大臣の演説，新しい国際協調の時代,佐藤栄作
27,1972,バングラデシュ承認にあたつての福田外務大臣談話,
28,1972,新しい政治を目指して（田中内閣総理大臣）,田中角栄
29,1972,田中内閣総理大臣談話,田中角栄
31,1972,日本列島改造問題懇談会における田中内閣総理大臣挨拶,田中角栄
32,1973,故石橋湛山氏葬儀における田中内閣総理大臣弔詞,田中角栄
33,1973,日本記者クラブにおける田中内閣総理大臣挨拶,田中角栄
34,1973,ナショナル・プレス・クラブにおける田中角栄内閣総理大臣演説,田中角栄
36,1973,ガット閣僚会議における田中内閣総理大臣スピーチ,田中角栄
37,1973,全国知事会議における田中内閣総理大臣説示,田中角栄
39,1973,東南アジア開発閣僚会議における田中内閣総理大臣スピーチ,田中角栄
40,1973,ラーマン・バングラディシュ首相歓迎晩餐会における田中内閣総理大臣スピーチ,田中角栄
41,1973,物価安定政策会議第4回総会における田中内閣総理大臣挨拶,田中角栄
42,1974,マルコス・フィリピン大統領主催晩餐会における田中角栄内閣総理大臣スピーチ,田中角栄
43,1974,サンヤー・タイ首相主催晩餐会における田中角栄内閣総理大臣スピーチ,田中角栄
44,1974,リー・クァン・ユー・シンガポール首相主催晩餐会における田中角栄内閣総理大臣スピーチ,田中角栄
45,1974,ラザク・マレイシア首相主催晩餐会における田中角栄内閣総理大臣スピーチ,田中角栄
